TARGETID,TILEID,FIBER,TARGET_RA,TARGET_DEC,VI_Z,VI_QUALITY,VI_SPECTYPE
39627646564311457,80606,674,35.61949315131616,-5.828536030826201,0.8945,3.5,GALAXY
39627646564311767,80606,692,35.628721713593265,-5.778543727122544,1.3045,4.0,GALAXY
39627646564311889,80606,851,35.632012713219005,-5.641724923806792,0.9267,3.5,GALAXY
39627646564311965,80606,852,35.63399796349994,-5.691322274507313,0.7621,0.0,GALAXY
39627646564312276,80606,883,35.641978378666245,-5.714145212760105,0.0328,4.0,GALAXY
39627646564312418,80606,666,35.645852706906304,-5.86333288335346,0.7763,4.0,GALAXY
39627646568497639,80606,894,35.66123002932553,-5.684344391897411,1.033,4.0,GALAXY
39627646568497758,80606,665,35.66480001170284,-5.815517924065301,0.8993,4.0,GALAXY
39627646568498073,80606,859,35.67425368688202,-5.631887151634579,0.0412,0.0,GALAXY
39627646568498648,80606,535,35.691650857049495,-5.850172436224057,0.962,3.5,GALAXY
39627646568499012,80606,853,35.702445173850904,-5.67671807536393,1.6298,0.5,GALAXY
39627646568499332,80606,513,35.71166731785194,-5.78120953097005,1.1058,3.5,GALAXY
39627646568500199,80606,543,35.73744555113144,-5.836254739502561,1.4125,2.0,GALAXY
39627646568500322,80606,857,35.74087342642854,-5.662010290834019,0.8503,4.0,GALAXY
39627646568500515,80606,504,35.74593728883373,-5.758749710327616,0.6605,0.0,GALAXY
39627646568500890,80606,884,35.75567651025811,-5.634230687588701,1.0203,0.0,GALAXY
39627646568501120,80606,520,35.762753471015294,-5.870029064138145,1.1911,4.0,GALAXY
39627646568501507,80606,854,35.77532655909101,-5.65688197480696,0.3681,0.0,GALAXY
39627646568501799,80606,867,35.783912600219104,-5.693146998504679,1.6825,0.0,GALAXY
39627646568502641,80606,872,35.81071506479329,-5.7292072328023,0.2488,1.0,GALAXY
39627646568502746,80606,541,35.81428558202722,-5.781252615672359,0.7473,4.0,GALAXY
39627646568503086,80606,862,35.82458837798947,-5.68304072126454,0.8454,4.0,GALAXY
39627646568503159,80606,895,35.82691549704856,-5.651190619763114,0.7851,4.0,GALAXY
39627646568503195,80606,540,35.82778514570519,-5.847332753946911,1.3435,0.0,GALAXY
39627646568503915,80606,502,35.848919035728656,-5.823249784377026,-0.0004,4.0,STAR
39627646568504004,80606,686,35.85181986592358,-5.6680421727200425,0.1358,4.0,GALAXY
39627646568504253,80606,548,35.85903953057143,-5.776340912186432,1.0727,4.0,GALAXY
39627646568504332,80606,658,35.86131955557458,-5.638827585627398,-0.002,3.0,STAR
39627646568504565,80606,672,35.86797954749092,-5.743143470723011,0.6291,4.0,GALAXY
39627646568505185,80606,547,35.88662633110495,-5.847052215842076,0.965,3.5,GALAXY
39627646568505236,80606,673,35.888478422099006,-5.669177788246228,0.8047,4.0,GALAXY
39627646568505272,80606,653,35.889624912241366,-5.7040405876408204,-0.0004,3.0,STAR
39627646572691632,80606,544,35.90281443095876,-5.765195699751599,1.4818,1.0,GALAXY
39627646572691961,80606,675,35.9123557194341,-5.74604423725477,0.814,4.0,GALAXY
39627646572692080,80606,688,35.916390162593245,-5.689599137259957,0.1712,2.0,GALAXY
39627646572692091,80606,507,35.917016391745555,-5.830265889580196,1.2961,3.5,GALAXY
39627646572692948,80606,514,35.94406047428334,-5.835463657266591,0.9513,4.0,GALAXY
39627646572693064,80606,546,35.947551525483576,-5.769892923352503,0.7827,4.0,GALAXY
39627646572693181,80606,683,35.951767330686344,-5.629735656318229,0.0664,0.0,GALAXY
39627646572693212,80606,690,35.95265883516941,-5.734763777996595,0.1346,4.0,GALAXY
39627646572693219,80606,501,35.952900748058994,-5.872974004399394,0.798,3.5,GALAXY
39627646572694077,80606,512,35.98223938090595,-5.853065597678661,0.7017,1.0,GALAXY
39627646572694178,80606,519,35.98555207161601,-5.83325977548782,0.3117,1.0,GALAXY
39627646572694183,80606,698,35.98577163537489,-5.749684481467243,0.8103,4.0,GALAXY
39627646572694694,80606,660,36.0010770100084,-5.675686572058197,0.4779,4.0,GALAXY
39627646572694855,80606,650,36.005753252681345,-5.63779726161258,0.9753,1.0,GALAXY
39627646572695392,80606,696,36.02293448282913,-5.708218267974622,0.7731,4.0,GALAXY
39627646572695974,80606,652,36.0438917820261,-5.638983348577908,0.9556,1.0,GALAXY
39627646572696103,80606,657,36.048151556620205,-5.671525182857293,0.8506,4.0,GALAXY
39627646572696931,80606,223,36.07612216059498,-5.738975976926021,-0.001,2.0,STAR
39627646572697462,80606,249,36.095270059398224,-5.791900768369641,1.2691,4.0,GALAXY
39627646572697743,80606,0,36.10564458423869,-5.6467580368811126,1.0201,3.5,GALAXY
39627646572698326,80606,238,36.12442214728006,-5.863073556589375,0.8693,4.0,GALAXY
39627646572698388,80606,217,36.12675062871679,-5.694166746260751,1.2208,4.0,GALAXY
39627646572698641,80606,38,36.13753352373226,-5.6349317663952485,0.9557,0.5,GALAXY
39627646572698961,80606,228,36.14899344802015,-5.8389971354576105,0.7939,4.0,GALAXY
39627646572698969,80606,232,36.14924044136468,-5.724074345404174,0.7737,4.0,GALAXY
39627646576886102,80606,227,36.16021657364493,-5.863852037245636,0.854,4.0,GALAXY
39627646576886149,80606,224,36.16171694646464,-5.766035308920023,0.1624,4.0,GALAXY
39627646576886412,80606,209,36.17030488300199,-5.71190294730004,0.4877,0.0,GALAXY
39627646576886594,80606,211,36.17608860280999,-5.800049235350231,0.594,1.0,GALAXY
39627646576886897,80606,248,36.187185937862274,-5.734851324092011,0.7482,4.0,GALAXY
39627646576886984,80606,244,36.19003470004807,-5.842347250164458,0.2673,4.0,GALAXY
39627646576887152,80606,213,36.19557330171073,-5.672617893374032,1.4844,3.5,GALAXY
39627646576887581,80606,235,36.21001350466946,-5.703928718537166,0.8771,4.0,GALAXY
39627646576887762,80606,9,36.216307384580304,-5.637852217930141,1.5773,3.0,GALAXY
39627646576887816,80606,241,36.21791327444609,-5.753862973749346,0.8139,4.0,GALAXY
39627646576888129,80606,246,36.22695836055362,-5.850867920905075,0.968,4.0,GALAXY
39627646576888391,80606,66,36.23632466896787,-5.780414278850232,1.4811,3.5,GALAXY
39627646576888711,80606,53,36.24725051174302,-5.818495232739802,0.7541,4.0,GALAXY
39627646576889088,80606,71,36.25941911719365,-5.650688213877743,0.9111,3.5,GALAXY
39627646576889323,80606,59,36.26679899773214,-5.757766328469199,1.6295,1.5,GALAXY
39627646576889476,80606,357,36.2738639824752,-5.860011047601965,1.546,1.5,GALAXY
39627646576889692,80606,80,36.28195867174056,-5.731796037712901,1.6145,2.5,GALAXY
