TARGETID,TILEID,FIBER,TARGET_RA,TARGET_DEC,VI_Z,VI_QUALITY,VI_SPECTYPE
39633345033798526,80613,3334,107.99870666659972,56.73692729810036,0.1904,4.0,GALAXY
39633345033798605,80613,3138,108.00635898954776,56.86287163430886,0.0529,3.0,GALAXY
39633345033798919,80613,3118,108.04088471730329,56.78999757295765,0.0896,4.0,GALAXY
39633345033798960,80613,3142,108.0451956012466,56.8170535366264,0.1884,3.0,GALAXY
39633345033799069,80613,3309,108.0579569844388,56.755205258694254,0.1442,4.0,GALAXY
39633345033799205,80613,3307,108.07230762193758,56.71658552027335,0.0759,1.0,GALAXY
39633345033799292,80613,3122,108.08004208678383,56.79365849126181,0.1908,4.0,GALAXY
39633345033799465,80613,3145,108.0955893370749,56.86545532945325,0.4716,4.0,GALAXY
39633345033799534,80613,3349,108.10108047230294,56.680286629429546,0.4353,4.0,GALAXY
39633345033799970,80613,3123,108.14063954918984,56.821340199564936,0.2294,4.0,GALAXY
39633345033800095,80613,3133,108.15070399198306,56.87179765200068,0.3378,4.0,GALAXY
39633345033800232,80613,3110,108.1624816766152,56.799255021640114,0.1048,4.0,GALAXY
39633345033800515,80613,3589,108.1865526958673,56.635308594990256,0.2187,4.0,GALAXY
39633345033800675,80613,3300,108.19750352261455,56.717120713391886,0.3343,4.0,GALAXY
39633345033800897,80613,3558,108.21517696309311,56.66433741236592,0.2323,4.0,GALAXY
39633345033801194,80613,3107,108.2364373569956,56.771390060892486,0.695,1.0,GALAXY
39633345033801468,80613,3113,108.25751674607672,56.83584838457554,1.3768,0.333,GALAXY
39633345033801509,80613,3136,108.26092079512904,56.804402955611465,0.1264,4.0,GALAXY
39633345033801944,80613,3811,108.29689970719537,56.64302692690744,0.2604,4.0,GALAXY
39633345033802035,80613,3841,108.30374511080495,56.69750546601081,0.3905,4.0,GALAXY
39633345033802174,80613,3116,108.3153786364112,56.76644660579,0.1276,4.0,GALAXY
39633345033802251,80613,3121,108.32316377370552,56.81076629938836,0.2215,4.0,GALAXY
39633345033802475,80613,3146,108.345550787579,56.86355488873882,0.3428,4.0,GALAXY
39633345033802610,80613,3831,108.3562469893134,56.72136038759355,0.2846,4.0,GALAXY
39633345037992470,80613,3100,108.40216963191122,56.81470895046349,0.194,3.5,GALAXY
39633345037993318,80613,3838,108.4817692263579,56.75199846504339,-0.0001,4.0,STAR
39633345037993410,80613,3350,108.4883584343239,56.85710686449959,0.3302,4.0,GALAXY
39633345037993725,80613,3621,108.51726564559485,56.77416831439456,0.3505,4.0,GALAXY
39633345037993880,80613,3820,108.53067485059375,56.73869297163224,0.194,4.0,GALAXY
39633345037993911,80613,3849,108.53372376310276,56.65733794575667,0.2402,4.0,GALAXY
39633345037994373,80613,3614,108.56987858722044,56.80413054388887,0.3409,4.0,GALAXY
39633345037994471,80613,3387,108.57777387023332,56.87431583865629,0.2041,4.0,GALAXY
39633345037994581,80613,3845,108.58830828501712,56.723102947610776,0.3334,4.0,GALAXY
39633345037994808,80613,3821,108.6082410143014,56.680455429109344,0.5332,4.0,GALAXY
39633345037995107,80613,3370,108.63575145247977,56.87113366994577,0.089,4.0,GALAXY
39633345037995142,80613,3606,108.63880893810796,56.78944109888152,0.2869,4.0,GALAXY
39633345037995247,80613,3647,108.647055776016,56.745704868554256,0.3405,4.0,GALAXY
39633345037995266,80613,3644,108.6486768799792,56.81824001035067,0.283,4.0,GALAXY
39633345037995623,80613,3625,108.67944964248224,56.693428642702365,0.3991,4.0,GALAXY
39633345037995904,80613,3616,108.70520419159656,56.84900974469896,0.3901,4.0,GALAXY
39633345037996149,80613,3617,108.731920460921,56.63350413094177,0.089,4.0,GALAXY
39633345037996167,80613,3604,108.73356162293024,56.77319995664136,0.1779,4.0,GALAXY
39633345037996483,80613,3641,108.76130997292138,56.83488823576138,0.0959,4.0,GALAXY
39633345037996649,80613,3620,108.77548763708792,56.78887590603302,0.3503,4.0,GALAXY
39633345037996653,80613,3626,108.77623610308684,56.863255992757566,0.4087,4.0,GALAXY
39633345037996859,80613,3642,108.7962123745096,56.666226022064805,0.1893,4.0,GALAXY
