TARGETID,TILEID,FIBER,TARGET_RA,TARGET_DEC,VI_Z,VI_QUALITY,VI_SPECTYPE
39627823463271493,80609,1396,148.90917392443288,1.4033826397045146,1.1311,4.0,GALAXY
39627823463271938,80609,1064,148.92535144514108,1.5393634765340962,0.7877,4.0,GALAXY
39627823463272477,80609,1082,148.9478514252622,1.6132104482003822,0.3121,4.0,GALAXY
39627823463272882,80609,1353,148.96442980582057,1.477411031490383,0.2862,4.0,GALAXY
39627823463273588,80609,1059,148.99143032905823,1.5761164660830629,0.7797,4.0,GALAXY
39627823467463421,80609,1096,149.03163457043416,1.5766646459656868,0.7889,4.0,GALAXY
39627823467463887,80609,1052,149.05008320304125,1.549940773886036,0.6861,4.0,GALAXY
39627823467464559,80609,961,149.07960385588729,1.4028683294356643,0.9939,4.0,GALAXY
39627823467464846,80609,1054,149.09350324677527,1.4877897412612369,0.4433,4.0,GALAXY
39627823467465769,80609,1471,149.1359314188229,1.5922501013456982,0.9896,4.0,GALAXY
39627823467466348,80609,1479,149.1619917331236,1.617643643900186,0.9868,4.0,GALAXY
39627823467467000,80609,1494,149.19420498884685,1.5634912936278476,0.5687,4.0,GALAXY
39627823467467110,80609,970,149.1999069425716,1.397291411193812,0.5675,4.0,GALAXY
39627823467467232,80609,788,149.2050948318049,1.427302067441676,0.9335,3.5,GALAXY
39627823467467329,80609,789,149.20887493564442,1.4827705164850171,0.8828,4.0,GALAXY
39627823467467463,80609,952,149.21460082216836,1.375129173428432,0.9019,4.0,GALAXY
39627823467467887,80609,998,149.23139669814907,1.3987008859347103,0.3663,4.0,GALAXY
39627823471657679,80609,791,149.2734495560901,1.4148554290673176,0.9855,4.0,GALAXY
39627823471657730,80609,1485,149.27516816204593,1.6123054258530167,0.9524,4.0,GALAXY
39627823471657950,80609,780,149.28320936565308,1.4479900827246286,0.5117,4.0,GALAXY
39627823471658336,80609,846,149.2980182809111,1.384238941081642,0.9846,4.0,GALAXY
39627823471658792,80609,947,149.31541401169392,1.5784493519918534,0.9542,4.0,GALAXY
39627823471659105,80609,753,149.32564676410857,1.390701421277337,0.8491,4.0,GALAXY
39627823471659225,80609,762,149.329823337003,1.4685828519921735,0.9055,4.0,GALAXY
39627823471659806,80609,932,149.35103162078525,1.533248954745941,0.8943,4.0,GALAXY
39627823471659830,80609,752,149.35185749101552,1.435297924518981,1.0819,4.0,GALAXY
39627823471659978,80609,936,149.3578044967926,1.5885780750381362,0.8765,4.0,GALAXY
39627823471660822,80609,911,149.39680238182814,1.5872592105811008,0.7345,4.0,GALAXY
39627823471661352,80609,758,149.42066638421394,1.4506469458197386,0.6809,4.0,GALAXY
39627823471661503,80609,929,149.42744321561585,1.5448841058571303,0.92,4.0,GALAXY
39627823471661725,80609,902,149.4364851554525,1.5957772454564023,0.978,4.0,GALAXY
39627823471662007,80609,785,149.44841605416755,1.4135807221661905,0.3567,3.5,GALAXY
39627823471662671,80609,754,149.47893899449613,1.3791545766637083,0.6456,4.0,GALAXY
39627823471662780,80609,796,149.48497741099106,1.482883908192269,0.9867,4.0,GALAXY
39627823475851543,80609,760,149.51335263688932,1.4624384881857064,0.7661,4.0,GALAXY
39627823475851663,80609,771,149.5199761527824,1.500844683842358,0.6476,4.0,GALAXY
39627823475851714,80609,792,149.52292817904006,1.3999027699794608,0.9869,4.0,GALAXY
39627823475851737,80609,921,149.52392805496493,1.609618023859749,0.5295,4.0,GALAXY
39627823475852010,80609,769,149.53629854405187,1.420913927151371,0.6227,4.0,GALAXY
39627823475852207,80609,627,149.54472135611445,1.5872338575685816,0.7488,4.0,GALAXY
39627823475852720,80609,934,149.56928263880192,1.6220479656142863,0.4596,4.0,GALAXY
39627823475854731,80609,799,149.6653085650576,1.4630235386784145,0.2202,4.0,GALAXY
39627823475854737,80609,622,149.66554212200742,1.5590062432324787,0.6318,4.0,GALAXY
39627823475854994,80609,975,149.67684710993743,1.386775409410945,0.3638,4.0,GALAXY
39627823475855183,80609,613,149.6853411442667,1.5353368300460986,0.6522,4.0,GALAXY
39627823475855707,80609,637,149.7099677410741,1.468547319278589,0.6698,4.0,GALAXY
39627823480046359,80609,623,149.78480889907505,1.488697133459462,0.5915,4.0,GALAXY
39627823480046370,80609,603,149.7852286300037,1.520505788602749,0.4209,4.0,GALAXY
39627823480046541,80609,982,149.79268096848284,1.409335120777144,0.5203,4.0,GALAXY
39627823480047050,80609,649,149.8238472791459,1.4762578730364575,0.8405,4.0,GALAXY
39627823480047412,80609,984,149.8435351653414,1.4126082882605564,0.8426,4.0,GALAXY
39627823480047922,80609,624,149.86992788842164,1.5413714982213187,0.6768,4.0,GALAXY
39627823480048011,80609,636,149.87439525304376,1.6019339613181762,0.9261,4.0,GALAXY
39627823480048340,80609,633,149.89269610378054,1.5719370419982612,0.5031,4.0,GALAXY
39627823480048797,80609,435,149.91879310828082,1.5278295085302405,1.0912,4.0,GALAXY
39627823480049473,80609,406,149.9520314473276,1.498642693625653,0.8185,4.0,GALAXY
39627823480050303,80609,118,149.99435046425887,1.4898963896446165,1.0322,4.0,GALAXY
39627823480050380,80609,413,149.9976747492596,1.5901835620880764,0.5558,4.0,GALAXY
39627823484239961,80609,433,150.0028593605466,1.5608966987932886,0.4246,4.0,GALAXY
39627823484239963,80609,100,150.00288228433877,1.434973764717999,0.3616,4.0,GALAXY
39627823484239977,80609,123,150.00345804770188,1.402214006097957,1.6602,4.0,QSO
39627823484240327,80609,411,150.01955425679802,1.6137193953542712,0.9114,4.0,GALAXY
39627823484241326,80609,250,150.06645852621926,1.4679039290071794,0.9518,4.0,GALAXY
39627823484241395,80609,436,150.0697307490196,1.5826551267134863,0.9717,4.0,GALAXY
39627823484241550,80609,284,150.07728408331653,1.545702098381065,0.3617,4.0,GALAXY
39627823484241701,80609,281,150.08464036235742,1.3931210793223636,1.0613,4.0,GALAXY
39627823484241848,80609,288,150.09301128654022,1.4238555256258365,0.8044,4.0,GALAXY
39627823484242073,80609,421,150.10625971972954,1.5778324773523678,0.5017,4.0,GALAXY
39627823484242092,80609,441,150.10748568504368,1.6002782904244888,0.7315,4.0,GALAXY
39627823484242385,80609,277,150.1250445551613,1.5204212671196162,0.4818,4.0,GALAXY
39627823484242406,80609,264,150.1262338488582,1.4150921773220309,0.7781,4.0,GALAXY
39627823484242546,80609,143,150.1335230042981,1.597931029182774,0.5239,4.0,GALAXY
39627823484242797,80609,295,150.14578848004325,1.3823619102344185,0.7063,4.0,GALAXY
39627823484243506,80609,142,150.1786221173027,1.5852666947013194,0.9717,4.0,GALAXY
39627823484244065,80609,299,150.20436219816872,1.400557338802577,0.7056,4.0,GALAXY
39627823484244156,80609,269,150.20750361535067,1.501614646476107,1.1249,4.0,GALAXY
39627823484244402,80609,253,150.21861596470285,1.4752104037940212,0.363,4.0,GALAXY
39627823484244476,80609,147,150.22182761175964,1.6217960177193718,0.7385,4.0,GALAXY
39627823484244645,80609,259,150.2303729434652,1.571991437434512,0.7022,4.0,GALAXY
39627823484244647,80609,276,150.23042529469566,1.436214373269104,0.7794,4.0,GALAXY
39627823484244826,80609,290,150.2386220951141,1.5284360943827646,0.3631,4.0,GALAXY
39627823484245044,80609,297,150.24865813938172,1.6248981920115542,0.5957,4.0,GALAXY
39627823488434746,80609,279,150.27490750449962,1.4669525989243883,0.6916,4.0,GALAXY
39627823488434937,80609,265,150.28406271363104,1.4856059702764446,0.973,4.0,GALAXY
39627823488435232,80609,257,150.29603964037247,1.611683383527196,0.3461,4.0,GALAXY
39627823488435304,80609,291,150.29856712809868,1.5542519225467684,0.3602,4.0,GALAXY
39627823488435534,80609,271,150.3079894014628,1.445919391193339,0.7305,4.0,GALAXY
39627823488435635,80609,258,150.3125590786087,1.4258039291496158,0.693,4.0,GALAXY
